B sxx sxy
73.00000 15547391.652323031798005 8494982.650201339274645
73.50000 15447268.008170304819942 8442600.228826545178890
74.00000 15348427.014811949804425 8390859.585297791287303
74.50000 15250844.169939160346985 8339749.015786013565958
75.00000 15154495.591491280123591 8289257.098646803759038
75.50000 15059357.998153282329440 8239372.685993142426014
76.00000 14965408.690583949908614 8190084.895566597580910
76.50000 14872625.533344553783536 8141383.102896329015493
77.00000 14780986.937495954334736 8093256.933731935918331
77.50000 14690471.843835953623056 8045696.256741662509739
78.00000 14601059.706750046461821 7998691.176463014446199
78.50000 14512730.478650148957968 7952232.026497206650674
79.00000 14425464.594973370432854 7906309.362936588935554
79.50000 14339242.959723016247153 7860913.958016955293715
80.00000 14254046.931522877886891 7816036.793984685093164
80.50000 14169858.310168163850904 7771669.057171379216015
81.00000 14086659.323650455102324 7727802.132266975007951
81.50000 14004432.615638019517064 7684427.596784159541130
82.00000 13923161.233393546193838 7641537.215706748887897
82.50000 13842828.616108998656273 7599122.936314791440964
83.00000 13763418.583644496276975 7557176.883179180324078
83.50000 13684915.325652949512005 7515691.353320895694196
84.00000 13607303.391073616221547 7474658.811525978147984
84.50000 13530567.677985142916441 7434071.885813857428730
85.00000 13454693.423797061666846 7393923.363049552775919
85.50000 13379666.195772515609860 7354206.184697926044464
86.00000 13305471.881865402683616 7314913.442711793817580
86.50000 13232096.681862561032176 7276038.375551081262529
87.00000 13159527.098816366866231 7237574.364326852373779
87.50000 13087749.930759713053703 7199514.929066331125796
88.00000 13016752.262690333649516 7161853.725094758905470
88.50000 12946521.458814676851034 7124584.539528788998723
89.00000 12877045.155043564736843 7087701.287878755480051
89.50000 12808311.251726791262627 7051198.010754952207208
90.00000 12740307.906620467081666 7015068.870674666017294
90.50000 12673023.528077851980925 6979308.148966180160642
91.00000 12606446.768454624339938 6943910.242766626179218
91.50000 12540566.517721313983202 6908869.662110376171768
92.00000 12475371.897276392206550 6874181.027103800326586
92.50000 12410852.253949936479330 6839839.065185653045774
93.00000 12346997.154194328933954 6805838.608467174693942
93.50000 12283796.378452913835645 6772174.591152258217335
94.00000 12221239.915701014921069 6738842.047032248228788
94.50000 12159317.958153577521443 6705836.107054384425282
95.00000 12098020.896133346483111 6673151.996961300261319
95.50000 12037339.313092125579715 6640785.034998475573957
96.00000 11977263.980784632265568 6608730.629687882028520
96.50000 11917785.854582699015737 6576984.277665703557432
97.00000 11858896.068931739777327 6545541.561581518501043
97.50000 11800585.932939426973462 6514398.148057541809976
98.00000 11742846.926095042377710 6483549.785705081187189
98.50000 11685670.694114062935114 6452992.303197507746518
99.00000 11629049.044903920963407 6422721.607396663166583
99.50000 11572973.944645818322897 6392733.681531785987318
100.00000 11517484.677197910845280 6363069.262072053737938
100.50000 11462480.045732388272882 6333635.957146447151899
101.00000 11407998.779899951070547 6304473.818547083996236
101.50000 11354033.441911237314343 6275579.117658071219921
102.00000 11300576.734284162521362 6246948.193852136842906
102.50000 11247621.496551165357232 6218577.452950140461326
103.00000 11195160.702057838439941 6190463.365721724927425
103.50000 11143187.454851672053337 6162602.466426529921591
104.00000 11091694.986656114459038 6134991.351394452154636
104.50000 11040676.653929268941283 6107626.677643874660134
105.00000 10990125.935002852231264 6080505.161536311730742
105.50000 10940036.427300442010164 6053623.577466927468777
106.00000 10890401.844630494713783 6026978.756589681841433
106.50000 10841216.014553336426616 6000567.585575181059539
107.00000 10792472.875819629058242 5974387.005401707254350
107.50000 10744166.475877748802304 5948434.010177459567785
108.00000 10696290.968446977436543 5922705.645992870442569
108.50000 10648840.611156428232789 5897199.009803283028305
109.00000 10601809.763246549293399 5871911.248339452780783
109.50000 10555192.883330982178450 5846839.557046489790082
110.00000 10508984.527217037975788 5821981.179049697704613
110.50000 10463179.345784749835730 5797333.404146218672395
111.00000 10417772.082919452339411 5772893.567822683602571
111.50000 10372757.573498668149114 5748659.050297249108553
112.00000 10328130.741432281211019 5724627.275585492141545
112.50000 10283886.597750872373581 5700795.710589949972928
113.00000 10240020.238745510578156 5677161.864212043583393
113.50000 10196526.844152698293328 5653723.286485759541392
114.00000 10153401.675387831404805 5630477.567733146250248
114.50000 10110640.073821015655994 5607422.337739966809750
115.00000 10068237.459098577499390 5584555.264951950870454
115.50000 10026189.327504672110081 5561874.055690351873636
116.00000 9984491.250365637242794 5539376.453386507928371
116.50000 9943138.872492650523782 5517060.237834824249148
117.00000 9902127.910664245486259 5494923.224464237689972
117.50000 9861454.152144651859999 5472963.263626003637910
118.00000 9821113.453241094946861 5451178.239899767562747
118.50000 9781101.737893125042319 5429566.071415087208152
119.00000 9741414.996299771592021 5408124.709189765155315
119.50000 9702049.283577162772417 5386852.136482968926430
120.00000 9663000.718450665473938 5365746.368164444342256
120.50000 9624265.481977265328169 5344805.450097766704857
121.00000 9585839.816299578174949 5324027.458538252860308
121.50000 9547720.023428454995155 5303410.499544827267528
122.00000 9509902.464056121185422 5282952.708405475132167
122.50000 9472383.556395828723907 5262652.249075926840305
123.00000 9435159.775050045922399 5242507.313631077297032
123.50000 9398227.649905215948820 5222516.121729170903563
124.00000 9361583.765051558613777 5202676.920088156126440
124.50000 9325224.757728891447186 5182987.981973635032773
125.00000 9289147.317297259345651 5163447.606698742136359
125.50000 9253348.184229863807559 5144054.119135043583810
